id,name,countries,degree_of_endangerment,number_of_speakers,latitude,longitude
1925,Jorá,Bolivia (Plurinational State of),Critically endangered,0,-14.0246,-63.3581
696,Judeo-Berber (Morocco),Morocco,Extinct,0,30.822,-6.8005
477,Kamas,Russian Federation,Extinct,0,57.9964,92.8784
1353,Kamas Turk,Russian Federation,Extinct,0,58.109,92.7101
2675,Kaniet,Papua New Guinea,Extinct,0,-0.898,145.5441
1548,Kansa,United States of America,Extinct,0,36.7657,-96.8652
341,Karaim (Crimea),Ukraine,Extinct,0,45.058,33.9477
2677,Karami,Papua New Guinea,Extinct,0,-7.1335,143.8659
1517,Karelian (Valday),Russian Federation,Extinct,0,58.0284,33.3215
2091,Katabaga,Philippines,Extinct,0,13.4366,122.5569
783,Kato,United States of America,Extinct,0,39.677,-123.4944
2596,Kayeli,Indonesia,Extinct,0,-3.39,127.1008
2634,Kazukuru,Solomon Islands,Extinct,0,-8.1598,157.4629
126,Kede,Angola,Extinct,0,-17.1617,16.1059
371,Kemi Saami,Finland,Extinct,0,67.0631,27.6635
2286,Kenaboi,Malaysia,Extinct,0,3.1129,102.0322
479,Kerek,Russian Federation,Extinct,0,62.5996,176.9183
2050,Ketangalan,China,Extinct,0,25.0433,121.4813
1148,Khaccaḍ Bhoṭe,Nepal,Definitely endangered,0,28.1113,85.3674
1613,Kilit,Azerbaijan,Extinct,0,38.9455,46.0989
137,Kinare,Kenya,Extinct,0,-0.725,37.2436
822,Klamath-Modoc,United States of America,Extinct,0,42.5767,-121.8637
828,Konomihu,United States of America,Extinct,0,41.2583,-123.3216
100,Kore,Kenya,Extinct,0,-2.2845,40.9185
485,Kott,Russian Federation,Extinct,0,56.3013,94.5318
618,Krenjê,Brazil,Extinct,0,-2.5644,-46.6589
1354,Krevin,Latvia,Extinct,0,56.35,24.2907
2046,Kulun,China,Extinct,0,24.9823,121.3591
189,Kurtjar,Australia,Extinct,0,-18.0623,140.4052
121,Kw'adza,United Republic of Tanzania,Extinct,0,-5.3753,35.8621
124,Kwadi,Angola,Extinct,0,-15.2523,12.2277
125,Kwisi,Angola,Extinct,0,-16.7309,13.0572
460,Kyakala,China,Extinct,0,45.3819,128.7597
2134,Laghu,Solomon Islands,Extinct,0,-7.6157,158.7359
1149,Langthang Tibetan,Nepal,Definitely endangered,0,28.21,85.5697
301,Lenca,"El Salvador, Honduras",Extinct,0,13.6459,-87.0996
111,Li-Ngbee,Democratic Republic of the Congo,Extinct,0,2.4931,28.059
2597,Liliali,Indonesia,Extinct,0,-3.39,127.1008
788,Lipan,United States of America,Extinct,0,33.1513,-105.799
2204,Lishan Didan (Iran),Iran (Islamic Republic of),Extinct,0,37.9615,44.6044
2202,Lishana Deni (Iraq),Iraq,Extinct,0,36.9279,42.5115
2184,Lishanid Noshan (Iraq),Iraq,Extinct,0,36.1777,44.165
1156,Loke Tibetan,Nepal,Definitely endangered,0,28.82,83.7721
93,Lorkoti,Kenya,Extinct,0,-0.4943,37.359
796,Lower Chehalis,United States of America,Extinct,0,46.3227,-123.9724
2685,Mahigi,Papua New Guinea,Extinct,0,-7.6688,143.0227
624,Máku,Brazil,Extinct,0,4.0615,-61.831
540,Malin,Myanmar,Extinct,0,24.57,94.56
2552,Mapia,Indonesia,Extinct,0,0.8321,134.3023
2647,Maragus,Vanuatu,Extinct,0,-16.0405,167.2778
209,Marrgu,Australia,Extinct,0,-11.3292,132.0227
