id,name,countries,degree_of_endangerment,number_of_speakers,latitude,longitude
1022,South Italian,Italy,Vulnerable,7500000,40.9798,15.249
1023,Sicilian,Italy,Vulnerable,5000000,37.4399,14.5019
383,Low Saxon,"Germany, Denmark, Netherlands, Poland, Russian Federation",Vulnerable,4800000,53.4029,10.3601
335,Belarusian,"Belarus, Latvia, Lithuania, Poland, Russian Federation, Ukraine",Vulnerable,4000000,53.956,27.5756
382,Lombard,"Italy, Switzerland",Definitely endangered,3500000,45.7215,9.3273
405,Romani,"Albania, Germany, Austria, Belarus, Bosnia and Herzegovina, Bulgaria, Croatia, Estonia, Finland, France, Greece, Hungary, Italy, Latvia, Lithuania, The former Yugoslav Republic of Macedonia, Netherlands, Poland, Romania, United Kingdom of Great Britain and Northern Ireland, Russian Federation, Slovakia, Slovenia, Switzerland, Czech Republic, Turkey, Ukraine, Serbia, Montenegro",Definitely endangered,3500000,46.3165,22.3681
2211,Yiddish (Israel),Israel,Definitely endangered,3000000,32.0833,34.8333
1586,Gondi,India,Vulnerable,2713790,19.5804,80.4418
1020,Limburgian-Ripuarian,"Germany, Belgium, Netherlands",Vulnerable,2600000,50.7781,6.0864
1943,Quechua of Southern Bolivia,Bolivia (Plurinational State of),Vulnerable,2300000,-18.0675,-65.7641
1565,Kumaoni,"India, Nepal",Vulnerable,2003783,29.4778,79.8486
755,Aymara,"Bolivia (Plurinational State of), Chile, Peru",Vulnerable,2000000,-16.5835,-68.302
349,Emilian-Romagnol,"Italy, San Marino",Definitely endangered,2000000,44.127,12.0739
399,Piedmontese,Italy,Definitely endangered,2000000,45.2013,7.8662
1021,Venetan,"Croatia, Italy, Slovenia",Vulnerable,2000000,45.4601,12.1948
1985,Zazaki,Turkey,Vulnerable,2000000,38.8824,40.4846
1591,Kurux (India),India,Vulnerable,1751489,22.1467,85.2758
2065,Tamajeq,Niger,Vulnerable,1750000,17.2352,8.0859
1585,Tulu,India,Vulnerable,1722768,12.0178,75.7067
1556,Kangdi,India,Definitely endangered,1700000,32.4356,76.1242
410,Scots,United Kingdom of Great Britain and Northern Ireland,Vulnerable,1500000,56.2189,-3.7683
1026,Torlak,"Albania, Bulgaria, The former Yugoslav Republic of Macedonia, Romania, Serbia",Vulnerable,1500000,42.9644,22.1374
1476,West Flemish,"Belgium, France, Netherlands",Vulnerable,1500000,51.0275,3.0541
334,Bashkir,Russian Federation,Vulnerable,1379727,54.7309,55.9863
1067,Chechen,Russian Federation,Vulnerable,1331844,43.1971,45.7031
338,Chuvash,Russian Federation,Vulnerable,1325382,56.1394,47.2412
1227,Meithei,India,Vulnerable,1250000,24.7667,93.8946
1114,Tamang,"India, Nepal",Vulnerable,1196639,27.7365,85.6858
1013,Quechua of Cuzco,Peru,Vulnerable,1115000,-13.4537,-72.0098
1024,Eastern Slovak,"Slovakia, Ukraine",Vulnerable,1000000,48.8068,21.7968
377,Ligurian,"France, Italy, Monaco",Definitely endangered,1000000,44.5748,8.7011
407,Rusyn,"Hungary, Poland, Romania, Slovakia, Ukraine",Vulnerable,1000000,48.4437,22.9394
1515,Talysh,"Azerbaijan, Iran (Islamic Republic of)",Vulnerable,1000000,38.814,48.6804
1577,Kui,India,Vulnerable,916222,19.5908,83.9575
1231,Khasi,India,Vulnerable,912000,25.691,91.8676
1229,Bodo,India,Vulnerable,900000,26.7554,92.8674
337,Campidanese,Italy,Definitely endangered,900000,39.2991,8.9868
1803,K'iche' (Guatemala),Guatemala,Vulnerable,890596,15.0309,-91.1485
989,Quechua of Ayacucho,Peru,Definitely endangered,850000,-13.1276,-74.2071
1117,Newar,Nepal,Definitely endangered,825458,27.6981,85.3198
2222,Mon,"Myanmar, Thailand",Vulnerable,800000,16.4666,97.7833
1523,Polesian,"Belarus, Poland, Ukraine",Vulnerable,800000,51.8629,23.9501
701,Tamaceq,Mali,Definitely endangered,800000,16.7992,-3.0102
1069,Avar,Russian Federation,Vulnerable,784840,42.4801,46.8017
1211,Mundari,India,Vulnerable,750000,22.3297,86.0449
425,Welsh,United Kingdom of Great Britain and Northern Ireland,Vulnerable,750000,52.4459,-3.5485
1202,Angika,"India, Nepal",Vulnerable,740892,24.7451,85.3124
1827,Q'eqchi' (Guatemala),Guatemala,Vulnerable,716101,15.4707,-90.3722
398,Picard,"Belgium, France",Severely endangered,700000,50.2331,2.7905
1228,Kokborok,"Bangladesh, India",Vulnerable,695000,23.7752,91.6918
415,Basque,"Spain, France",Vulnerable,660000,43.133,-2.0764
1065,Kabard-Cherkes,"Russian Federation, Turkey",Vulnerable,650000,43.7393,43.4289
1559,Mandeali,India,Definitely endangered,611930,31.4099,76.9921
353,Friulian,Italy,Definitely endangered,600000,46.1037,13.1396
997,Quechua of Ancash and Huánuco,Peru,Definitely endangered,600000,-9.4598,-77.1789
1947,Walloon,"Belgium, France, Luxembourg",Definitely endangered,600000,50.4575,4.8559
1091,Mising,India,Definitely endangered,550000,26.9612,94.0539
1066,Ossete,"Georgia, Russian Federation",Vulnerable,550000,42.9564,44.4946
1230,Mizo,India,Vulnerable,529000,22.9988,92.9223
1070,Dargwa,Russian Federation,Vulnerable,503523,42.1145,47.4938
331,Aromanian,"Albania, Bulgaria, Greece, The former Yugoslav Republic of Macedonia, Serbia",Definitely endangered,500000,40.2292,21.1376
2485,Brahui,"Iran (Islamic Republic of), Pakistan, Afghanistan",Vulnerable,500000,29.0369,66.5826
375,Languedocian,France,Severely endangered,500000,43.8899,2.5378
1072,Lezgian,"Azerbaijan, Russian Federation",Vulnerable,500000,41.4921,48.0541
1558,Mahasui,India,Definitely endangered,496024,31.2738,77.1295
1118,Magar,Nepal,Definitely endangered,489383,28.0816,83.4301
1822,Mam (Guatemala),Guatemala,Vulnerable,477717,14.9305,-91.9078
418,Udmurt,Russian Federation,Definitely endangered,463837,57.2315,52.8662
1506,Huasteca Náhuatl,Mexico,Vulnerable,463183,21.3835,-98.9902
1074,Kumyk,Russian Federation,Vulnerable,458121,43.397,46.9775
508,Yakut,Russian Federation,Vulnerable,456288,62.3496,130.8691
1801,Kaqchikel (Guatemala),Guatemala,Vulnerable,444954,14.7814,-90.7925
1165,Karbi,India,Vulnerable,420000,26.2934,93.2299
347,Eastern Mari,Russian Federation,Definitely endangered,414211,56.632,47.8784
1068,Ingush,Russian Federation,Vulnerable,405343,43.145,45.1043
350,Erzya,Russian Federation,Definitely endangered,400000,54.1302,45.4394
1212,Ho,India,Vulnerable,400000,21.637,86.4404
2165,Judezmo (Israel),Israel,Severely endangered,400000,32.0872,34.7737
534,Lalo,China,Vulnerable,400000,25.383,99.9426
378,Limousin,France,Severely endangered,400000,46.0579,1.8017
381,Logudorese,Italy,Definitely endangered,400000,40.1116,9.1845
626,Mapuche (Chile),Chile,Definitely endangered,400000,-38.5653,-73.081
1503,Central Náhuatl,Mexico,Vulnerable,395581,19.191,-99.0236
424,Moselle Franconian,"Germany, Belgium, France, Luxembourg",Vulnerable,390000,49.6071,6.1248
964,Bantawa,Nepal,Vulnerable,371056,27.0994,87.0048
1424,Santa,China,Vulnerable,360000,35.5411,102.7935
1057,Mingrelian,Georgia,Definitely endangered,350000,42.4599,41.7205
426,West Frisian,Netherlands,Vulnerable,350000,53.1006,5.6579
1113,Gurung,Nepal,Definitely endangered,338925,28.275,84.1782
295,Guajiro,"Colombia, Venezuela (Bolivarian Republic of)",Vulnerable,318500,11.8673,-71.9824
1075,Karachay-Balkar,Russian Federation,Vulnerable,302748,44.2137,42.8466
1064,Adyge,"Iraq, Israel, Jordan, The former Yugoslav Republic of Macedonia, Russian Federation, Syrian Arab Republic, Turkey",Vulnerable,300000,44.9181,39.7485
469,Buryat (Trans-Baikal),Russian Federation,Definitely endangered,300000,50.8336,109.5117
1574,Kurru,India,Definitely endangered,300000,16.6151,81.6284
1578,Kuvi,India,Definitely endangered,300000,18.9478,83.5839
1028,Limbu,"India, Nepal",Definitely endangered,300000,27.096,87.7356
2452,Moroccan Judeo-Arabic (Israel),Israel,Definitely endangered,300000,32.0476,34.7552
401,Plautdietsch,Ukraine,Definitely endangered,300000,47.0738,35.5545
1078,Pontic Greek,"Armenia, Georgia, Greece, Russian Federation, Turkey, Ukraine",Definitely endangered,300000,40.847,40.0149
1935,"Quichua (Cotopaxi, Tungurahua and Chimborazo)",Ecuador,Definitely endangered,300000,-1.8673,-78.9257
1479,Waxiang,China,Vulnerable,300000,28.5652,110.3576
1434,Oyrat,"China, Kyrgyzstan, Mongolia",Definitely endangered,280000,46.195,88.7255
1563,Garhwali,India,Vulnerable,279500,30.0976,79.1235
1380,Bade,Nigeria,Vulnerable,250000,12.801,11.1181
336,Breton,France,Severely endangered,250000,48.2246,-3.9331
352,Gascon,"Spain, France",Definitely endangered,250000,43.1811,-0.1428
2245,Phula (China),China,Vulnerable,250000,22.6001,104.0004
1205,Sora,India,Vulnerable,250000,19.1244,83.2104
1119,Konyak,India,Vulnerable,248000,26.9367,95.1745
1130,Ao,India,Vulnerable,243000,26.4361,94.6472
1234,Tuvan,"China, Mongolia, Russian Federation",Vulnerable,242754,51.7134,94.3945
1970,Nafusi,Libyan Arab Jamahiriya,Severely endangered,240000,32.6393,13.4252
2232,Suret,"Armenia, Iran (Islamic Republic of), Iraq, Syrian Arab Republic, Turkey",Definitely endangered,240000,36.4477,43.2971
1592,Malto,India,Definitely endangered,224926,23.7853,85.4736
1600,Khowar,Pakistan,Vulnerable,222800,35.8667,71.7956
2481,Maiya,Pakistan,Vulnerable,220000,35.3151,72.908
373,Komi,Russian Federation,Definitely endangered,217316,62.3087,51.5917
365,Alpine Provençal,"France, Italy",Definitely endangered,200000,44.7467,6.6796
355,Gallo,France,Severely endangered,200000,47.931,-2.0544
1384,Gera,Nigeria,Vulnerable,200000,10.5553,10.0579
1570,Irula,India,Vulnerable,200000,11.4369,76.5032
1204,Kharia,India,Vulnerable,200000,21.8003,85.4956
847,Khorasani Turk,Iran (Islamic Republic of),Vulnerable,200000,36.6596,57.854
1210,Korku,India,Vulnerable,200000,20.3034,80.2441
328,Moksha,Russian Federation,Definitely endangered,200000,54.1817,43.2751
7,Western Armenian (Middle East),"Iraq, Lebanon, Syrian Arab Republic",Definitely endangered,200000,33.884,35.5133
2225,Western Cham,Cambodia,Vulnerable,200000,12.0333,105.4333
1258,Tshangla,"Bhutan, China, India",Vulnerable,193000,27.1275,91.9335
1161,Thado,India,Vulnerable,191000,24.4521,93.2354
389,Gagauz (Bessarabia),"Republic of Moldova, Ukraine",Definitely endangered,180000,46.0922,28.7951
1557,Kului,India,Definitely endangered,170770,31.4403,77.1487
981,Adi,"China, India",Vulnerable,170000,28.3527,95.2294
1132,Lhota,India,Vulnerable,170000,26.1603,94.3725
977,Nyishi,India,Vulnerable,170000,27.5277,93.0981
1898,Ngäbere (Panama),Panama,Vulnerable,169130,9.3395,-82.2428
1582,Kodagu,India,Definitely endangered,166187,11.6952,75.9375
340,Corsican,"France, Italy",Definitely endangered,160000,42.0819,9.0307
1253,Dzongkha,Bhutan,Vulnerable,160000,27.44,89.6731
368,Kalmyk,Russian Federation,Definitely endangered,153602,46.2026,45.8239
1071,Lak,Russian Federation,Vulnerable,153373,42.0125,47.2521
332,Asturian-Leonese,"Spain, Portugal",Definitely endangered,150000,42.7954,-5.6689
376,Latgalian,"Latvia, Russian Federation",Vulnerable,150000,56.1822,27.1362
404,Provençal,France,Severely endangered,150000,43.5485,6.1083
1174,Rabha,India,Vulnerable,150000,25.9284,90.9777
1996,Tamzabit,Algeria,Vulnerable,150000,32.4816,3.6694
1128,Sherpa,"China, India, Nepal",Vulnerable,143693,27.739,86.839
1154,Tangkhul,India,Vulnerable,142000,25.0358,94.4824
1826,Q'aanjob'al,Guatemala,Vulnerable,139830,15.6019,-91.4441
1569,Badaga,India,Definitely endangered,134514,11.3642,76.5266
1140,Angami,India,Vulnerable,132000,25.7553,94.1308
1056,Laz,"Georgia, Turkey",Definitely endangered,130000,41.2736,41.2646
1073,Tabasaran,Russian Federation,Vulnerable,128391,41.8081,47.9882
1553,Chambeali,India,Definitely endangered,126589,32.9072,76.5307
1076,Abkhaz,"Georgia, Russian Federation, Turkey",Vulnerable,125000,43.133,40.8471
1129,Phom,India,Vulnerable,123000,26.7799,94.9493
1588,Kolami,India,Definitely endangered,121855,20.5093,78.1787
784,Navajo,United States of America,Vulnerable,120000,35.8044,-108.475
408,Sassarese,Italy,Definitely endangered,120000,40.6139,8.6132
655,Tamahaq (Algeria),Algeria,Vulnerable,120000,22.8369,5.5371
1590,Konda,India,Definitely endangered,118597,18.2763,82.9385
916,Sierra Totonac,Mexico,Severely endangered,118367,20.2461,-97.6586
1564,Jaunsari,India,Definitely endangered,114733,30.4859,78.0908
1167,Dimasa,India,Vulnerable,112000,24.7368,92.9003
1179,Ladakhi,"China, India",Vulnerable,105000,34.0617,77.5909
1429,Salar,China,Vulnerable,104503,36.2752,102.4584
1136,Simi,India,Vulnerable,104000,25.9777,94.5922
904,Phurhepecha,Mexico,Vulnerable,102988,19.3111,-102.041
342,Crimean Tatar (Crimea),Ukraine,Severely endangered,100000,45.3212,34.3212
451,Dagur (Nonni),China,Definitely endangered,100000,47.9163,124.1235
366,Francoprovençal,"France, Italy, Switzerland",Definitely endangered,100000,45.7828,6.9982
356,Gallurese,Italy,Definitely endangered,100000,40.8802,9.4482
1754,Mapuche (Argentina),Argentina,Severely endangered,100000,-40.0791,-71.0156
1620,Mehri,"Oman, Yemen",Definitely endangered,100000,16.5993,52.8057
1891,Miskito (Nicaragua),Nicaragua,Vulnerable,100000,12.4001,-83.7332
1233,Ordos,China,Definitely endangered,100000,39.1641,108.1054
1944,Quechua of Northern Bolivia,Bolivia (Plurinational State of),Vulnerable,100000,-15.3649,-69.0518
96,Suba,"Kenya, United Republic of Tanzania",Vulnerable,100000,-0.9942,34.519
1861,Garífuna (Honduras),Honduras,Vulnerable,98000,15.6754,-88.1476
292,Embera (Colombia),Colombia,Vulnerable,95000,6.1624,-76.8383
1162,Kabui,India,Vulnerable,95000,24.721800000000002,93.6584
760,Shughni,"Tajikistan, Afghanistan",Vulnerable,95000,37.4879,71.5374
397,Permyak,Russian Federation,Definitely endangered,94328,59.204,54.5361
1825,Poqomchi',Guatemala,Vulnerable,92941,15.3757,-90.4288
1135,Yimchungru,India,Vulnerable,92000,25.9629,94.9713
669,Nogay (Caucasus),Russian Federation,Definitely endangered,90020,43.8028,46.2744
700,Heiban,Sudan,Vulnerable,90000,10.8575,30.2371
1930,Quichua (Cañar and Azuay),Ecuador,Severely endangered,90000,-2.6577,-78.8378
932,Mezquital Otomí,Mexico,Definitely endangered,88789,20.4831,-99.217
940,Eastern Mazahua,Mexico,Definitely endangered,88001,19.7129,-99.9515
1599,Burushaski,Pakistan,Vulnerable,87000,35.909,74.2153
928,Central Otomí,Mexico,Definitely endangered,84593,19.4661,-99.5944
1141,Chokri,India,Vulnerable,84000,25.8691,94.7131
1133,Sangtam,India,Vulnerable,84000,26.6032,94.9603
1791,Ixil (Guatemala),Guatemala,Vulnerable,83574,15.4849,-91.0358
1777,Achi',Guatemala,Vulnerable,82640,15.0845,-90.4888
1686,Yem,Ethiopia,Vulnerable,81613,7.6347,37.3205
1144,Mao,India,Vulnerable,81000,25.5027,94.2681
1347,Arbëresh,Italy,Definitely endangered,80000,40.9321,14.8645
1765,Lari,Iran (Islamic Republic of),Definitely endangered,80000,27.8585,54.8547
641,Páez,Colombia,Definitely endangered,80000,2.8237,-76.3117
2303,Quechua of Santiago del Estero,Argentina,Definitely endangered,80000,-26.7848,-63.6767
1058,Svan,Georgia,Definitely endangered,80000,43.0207,42.3193
2236,Tai Daeng,"Lao People's Democratic Republic, Viet Nam",Vulnerable,80000,19.8833,104.6166
2163,Taznatit,Algeria,Severely endangered,80000,29.3413,0.3955
2179,Razihi,Yemen,Definitely endangered,75000,16.8834,43.2655
1379,Wakhi,"China, Pakistan, Tajikistan, Afghanistan",Definitely endangered,75000,37.1603,74.9047
1568,Bishnupriya Manipuri Creole,"Bangladesh, India",Vulnerable,72899,24.297,92.4499
1713,Acheron,Sudan,Severely endangered,70000,10.809,30.2453
702,Maori,New Zealand,Vulnerable,70000,-38.4105,177.3632
2237,Tai Neua,Lao People's Democratic Republic,Vulnerable,70000,20.5166,104.3166
1567,Bhadravahi,"India, Pakistan",Definitely endangered,66918,33.5413,76.333
1562,Kinnauri,India,Definitely endangered,65097,31.541,78.3764
1330,Gallo-Sicilian,Italy,Definitely endangered,65000,38.0167,14.5994
1594,Kurux (Bangladesh),Bangladesh,Vulnerable,65000,25.8196,88.9672
1831,Tz'utujil,Guatemala,Definitely endangered,63237,14.6394,-91.2301
2350,Chamorro,Guam (U.S.A.),Vulnerable,62500,13.4323,144.7338
741,Ashaninka (Peru),Peru,Vulnerable,62468,-10.6929,-74.3444
1131,Chang,India,Vulnerable,62000,26.2934,94.9493
1897,Kuna (Panama),Panama,Vulnerable,61703,9.5983,-79.6334
1554,Churahi,India,Definitely endangered,61199,33.1835,76.574700000000007
1155,Nruanghmei,India,Vulnerable,61000,24.9661,93.5375
1139,Rengma,India,Vulnerable,61000,25.958,94.2462
1027,Faroese,Faroe Islands,Vulnerable,60000,62.0112,-6.7785
2439,Northern Tujia,China,Severely endangered,60000,28.828,109.5904
2480,Torwali,Pakistan,Definitely endangered,60000,35.5833,72.5
1787,Chuj (Guatemala),Guatemala,Vulnerable,59048,15.8259,-91.4783
1186,Kachari,India,Definitely endangered,59000,25.2844,93.2189
411,Scottish Gaelic,United Kingdom of Great Britain and Northern Ireland,Definitely endangered,58552,58.1011,-6.7675
1504,Sierra de Puebla Náhuatl,Mexico,Definitely endangered,57189,19.6223,-97.8149
643,Limonese Creole,Costa Rica,Definitely endangered,55000,9.9916,-83.0316
370,Kashubian,Poland,Severely endangered,53000,54.2267,18.1713
481,Khakas,Russian Federation,Definitely endangered,52217,53.7746,90.3735
1587,Parji,India,Critically endangered,51216,18.5629,82.8039
1352,Arvanitika,Greece,Severely endangered,50000,38.1863,23.6096
507,Buryat (Cis-Baikal),Russian Federation,Severely endangered,50000,52.7961,104.8809
458,Buryat (Manchuria),"China, Mongolia",Definitely endangered,50000,49.8096,119.7509
2261,Cuona Menba,"Bhutan, China, India",Vulnerable,50000,26.8279,95.3623
2229,Eastern Cham,Viet Nam,Definitely endangered,50000,10.7833,108.0833
1232,Hmar,India,Vulnerable,50000,24.577,93.3178
1422,Huzhu Monguor,China,Severely endangered,50000,36.7608,102.4255
1159,Paite,India,Vulnerable,50000,24.1968,93.3563
1929,Quichua (Imbabura),Ecuador,Definitely endangered,50000,0.1757,-78.2006
1949,Soqotri,Yemen,Severely endangered,50000,12.5331,53.767
462,Southern Altay,Russian Federation,Definitely endangered,50000,51.069,86.5942
1475,Transylvanian Saxon,Romania,Severely endangered,50000,46.214,24.2413
1986,Turoyo,"Syrian Arab Republic, Turkey",Severely endangered,50000,37.405,41.3745
422,Võro-Seto,"Estonia, Russian Federation",Definitely endangered,50000,57.8096,27.29
687,West Greenlandic,Greenland (Kingdom of Denmark),Vulnerable,50000,64.1681,-51.7236
1494,Western Armenian (Turkey),Turkey,Definitely endangered,50000,41.0213,28.9324
122,Zaramo,United Republic of Tanzania,Definitely endangered,50000,-6.922,39.2409
2180,Zenatiya,Algeria,Critically endangered,50000,35.5702,1.8099
915,Papantla Totonac,Mexico,Definitely endangered,49748,20.4477,-97.32
1108,Wancho,India,Vulnerable,49000,26.9759,95.4656
1213,Bhumji,India,Vulnerable,47000,21.8003,86.8139
2241,Cosung (China),China,Definitely endangered,47000,22.6833,102.6666
2240,Cosung (Viet Nam),Viet Nam,Definitely endangered,47000,22.6166,102.75
2249,Baheng (China),China,Vulnerable,45000,26.19,110.24
60,Lumun,Sudan,Definitely endangered,45000,10.8387,30.0338
1931,Quichua (Loja),Ecuador,Severely endangered,45000,-3.6236,-79.2388
1025,Chamling,Nepal,Definitely endangered,44093,27.0499,86.7329
362,Irish,"Ireland, United Kingdom of Great Britain and Northern Ireland",Definitely endangered,44000,53.7876,-9.1845
1329,Reshe,Nigeria,Vulnerable,44000,10.8791,4.6115
927,Sierra Otomí,Mexico,Vulnerable,43468,20.1021,-97.622
134,Phuthi,Lesotho,Definitely endangered,43000,-29.3791,28.2838
704,Rarotongan,Cook Islands,Vulnerable,43000,-21.2343,-159.7837
1804,Khalaj,Iran (Islamic Republic of),Vulnerable,42100,34.3751,50.3063
1670,Dungan,"Kazakhstan, Kyrgyzstan",Definitely endangered,41000,42.4518,78.4643
1143,Kheza,India,Vulnerable,41000,25.6811,94.367
1304,Jola-Kassa,Senegal,Vulnerable,40850,13.1089,-15.8999
1447,Satār,Nepal,Vulnerable,40260,26.5541,87.918
1927,Guaraní Boliviano,"Argentina, Bolivia (Plurinational State of)",Vulnerable,40000,-20.1694,-63.8525
1208,Gutob,India,Vulnerable,40000,18.7086,83.5839
1247,Kheng,Bhutan,Vulnerable,40000,27.0786,91.0272
70,Laro,Sudan,Definitely endangered,40000,10.7685,29.902
986,Minyong,India,Vulnerable,40000,28.2632,95.0537
1137,Mru,Myanmar,Severely endangered,40000,21.7748,92.2741
149,Patani Malay,Thailand,Vulnerable,40000,6.6482,100.0387
998,"Quechua of Cajatambo, Pasco and northern Junín",Peru,Severely endangered,40000,-10.6147,-76.506
1275,Quichua (Napo),Ecuador,Definitely endangered,40000,-0.6371,-77.1459
1104,Tangsa,India,Vulnerable,40000,27.4059,96.427
2210,Tetserret,Niger,Severely endangered,40000,15.4907,6.2072
734,Awajun,Peru,Vulnerable,39000,-4.3464,-77.8271
1134,Khiamngan,India,Vulnerable,38000,26.0518,95.1031
1717,Ngile,Sudan,Severely endangered,38000,10.7901,29.8635
2235,Phunoi,Lao People's Democratic Republic,Vulnerable,37311,21.6833,102.1
905,Lower Mixe,Mexico,Vulnerable,37000,16.9616,-95.093
1151,Maram,India,Vulnerable,37000,25.185,93.9715
427,Western Mari,Russian Federation,Severely endangered,36822,56.3317,46.5545
1082,Chepang,Nepal,Vulnerable,36807,27.7552,84.8144
1356,Chontal Tabasco,Mexico,Severely endangered,36514,17.7607,-92.5936
2414,Muji,China,Definitely endangered,36500,23.6,102.7333
1778,Akatek (Guatemala),Guatemala,Vulnerable,35763,15.5724,-91.4218
1491,Huichol,Mexico,Vulnerable,35724,22.65,-103.5833
406,Romansh,Switzerland,Definitely endangered,35095,46.5777,9.6954
938,Apatani,India,Vulnerable,35000,27.5228,93.8177
988,Galo,India,Vulnerable,35000,28.1688,94.7433
1218,Korwa,India,Vulnerable,35000,22.4922,84.1552
759,Shuar chicham,Ecuador,Definitely endangered,35000,-2.8826,-78.0303
742,Ticuna,"Brazil, Colombia, Peru",Definitely endangered,35000,-4.3464,-70.0048
999,Wanka Quechua,Peru,Severely endangered,35000,-12.136,-75.2453
296,Sikuani,"Colombia, Venezuela (Bolivarian Republic of)",Vulnerable,34614,3.4256,-68.8183
1800,Jakaltek (Guatemala),Guatemala,Definitely endangered,34038,15.6685,-91.7111
1147,Liangmai,India,Vulnerable,34000,25.2794,93.6694
1150,Zeme,India,Vulnerable,34000,25.5027,93.5595
1277,Highland Mazatec,Mexico,Vulnerable,33859,18.1307,-96.8436
1116,Thangmi,Nepal,Definitely endangered,33500,27.6969,86.0057
1106,Nocte,India,Vulnerable,33000,27.1618,95.7952
1490,Mayo,Mexico,Critically endangered,32869,26.9114,-109.6271
2309,Lauje,Indonesia,Vulnerable,32000,-0.4531,119.9816
431,Danuwar,Nepal,Severely endangered,31849,26.9661,86.3223
1561,Sirmaudi,India,Critically endangered,31144,30.9823,77.1569
1077,Abaza,"Russian Federation, Turkey",Definitely endangered,31000,44.1556,41.9368
1171,Koch,India,Definitely endangered,31000,25.7603,90.3955
2030,Amis,China,Vulnerable,30000,23.4456,121.4483
2525,Biak,Indonesia,Vulnerable,30000,-0.3076,131.2207
1245,Bumthang,Bhutan,Vulnerable,30000,27.492,90.7159
1350,Burgenland Croatian,"Austria, Hungary, Slovakia",Definitely endangered,30000,47.8435,16.5179
1768,Dzhidi,Iran (Islamic Republic of),Definitely endangered,30000,33.5139,48.0102
2451,Judeo-Berber (Israel),Israel,Severely endangered,30000,31.6767,34.5684
1120,Kham,Nepal,Definitely endangered,30000,28.4321,82.9635
565,Ladin,Italy,Definitely endangered,30000,46.5531,11.8597
440,Lepcha,"Bhutan, India, Nepal",Definitely endangered,30000,27.1153,88.4687
2427,Maonan,China,Vulnerable,30000,24.8341,107.577
2221,"Mok (Myanmar, Thailand)","Myanmar, Thailand",Definitely endangered,30000,21.7333,99.7666
1715,Moro,Sudan,Definitely endangered,30000,10.8872,30.1904
2425,Mulam,China,Vulnerable,30000,24.6341,108.2895
393,North Saami,"Finland, Norway, Russian Federation, Sweden",Definitely endangered,30000,68.9099,22.9394
1012,Quechua of Cajamarca,Peru,Severely endangered,30000,-7.1772,-78.673
1276,Quichua (Pastaza),Ecuador,Definitely endangered,30000,-1.7575,-76.8603
1378,Rushani,"Tajikistan, Afghanistan",Definitely endangered,30000,37.8705,71.5979
979,Tagin,India,Vulnerable,30000,28.038,94.2022
2321,Tialo,Indonesia,Vulnerable,30000,0.4888,120.8935
2181,Tidikelt,Algeria,Critically endangered,30000,26.8828,2.5488
659,Toba,Argentina,Definitely endangered,30000,-25.958,-59.0625
503,Tundra Nenets,Russian Federation,Definitely endangered,30000,67.5001,67.7856
421,Vojvodina Rusyn,"Croatia, Serbia",Definitely endangered,30000,45.6351,19.1903
2408,Wuse,China,Vulnerable,30000,24.878,109.1053
1035,Agul,Russian Federation,Definitely endangered,29399,41.7518,47.6875
1036,Rutul,"Azerbaijan, Russian Federation",Definitely endangered,29383,41.5332,47.3181
1844,Bateri,Pakistan,Definitely endangered,29000,34.9073,72.8675
1146,Mzieme,India,Vulnerable,29000,25.6019,93.8891
1112,Ghale,Nepal,Vulnerable,28989,28.2501,84.718
907,Sierra Popoluca,Mexico,Vulnerable,28700,18.245,-94.76
1446,Kurux (Nepal),Nepal,Vulnerable,28615,26.6032,87.2259
1170,Deori,India,Definitely endangered,28000,27.1911,94.1528
1279,Soyaltepec Mazatec,Mexico,Vulnerable,27524,18.2499,-96.3995
941,Western Mazahua,Mexico,Definitely endangered,27037,19.4372,-100.3552
1430,Sibe,China,Severely endangered,27000,43.6599,81.3427
1505,Isthmus Náhuatl,Mexico,Vulnerable,26632,18.2209,-94.8382
1105,Sunwar,Nepal,Vulnerable,26611,27.3485,86.2337
1302,Mancagne,Senegal,Vulnerable,26450,12.7743,-15.6967
1576,Gadaba,India,Critically endangered,26262,18.3858,82.7819
1513,Banat Bulgarian,"Romania, Serbia",Definitely endangered,25000,45.4832,20.9069
1351,Csángó Hungarian,Romania,Severely endangered,25000,46.7925,27.1911
1215,Koda,India,Vulnerable,25000,22.1263,87.0776
1423,Minhe Monguor,China,Definitely endangered,25000,36.4919,102.6452
1862,Miskito (Honduras),Honduras,Vulnerable,25000,15.3393,-84.6034
396,Olonetsian,"Finland, Russian Federation",Definitely endangered,25000,61.1273,32.8765
1006,Saek,"Lao People's Democratic Republic, Thailand",Definitely endangered,25000,19.3166,104.7833
885,Sioux,United States of America,Vulnerable,25000,43.0588,-102.5244
699,Tamazight (Beni Iznassen),Morocco,Definitely endangered,25000,34.7506,-2.1917
1061,Tsakhur,"Azerbaijan, Russian Federation",Definitely endangered,25000,41.6523,46.9775
1964,Warao,"Guyana, Venezuela (Bolivarian Republic of)",Definitely endangered,25000,8.6027,-61.3806
1169,Majhi,Nepal,Severely endangered,24664,27.9208,83.5082
1501,Jone,China,Definitely endangered,24000,34.5947,103.5653
1037,Andi,Russian Federation,Definitely endangered,23729,42.7308,46.2963
599,Guambiano,Colombia,Definitely endangered,23462,2.6138,-76.3906
1164,Anal,India,Vulnerable,23000,24.1517,93.9385
